date,engaged_sessions,avg_session_duration_s,page_views,articles_engaged_sessions,articles_avg_session_duration_s,articles_page_views,search_clicks,search_impressions,discover_clicks,discover_impressions
2026-06-26,,,,,,,38,4839,0,0
2026-06-27,,,,,,,18,5316,0,0
2026-06-28,,,,,,,22,5430,0,0
2026-06-29,,,,,,,33,6628,0,0
2026-06-30,,,,,,,49,7564,0,0
2026-07-01,,,,,,,49,7076,0,0
2026-07-02,,,,,,,67,7970,0,0
2026-07-03,,,,,,,48,6400,0,0
2026-07-04,,,,,,,45,6256,0,0
2026-07-05,,,,,,,51,7156,0,0
2026-07-06,,,,,,,48,6659,0,0
2026-07-07,,,,,,,79,7119,0,0
2026-07-08,,,,,,,60,6616,0,0
2026-07-09,,,,,,,41,6346,0,0
2026-07-10,,,,,,,53,7809,0,0
2026-07-11,,,,,,,49,8999,0,0
2026-07-12,,,,,,,66,8404,0,0
2026-07-13,,,,,,,55,7798,0,0
2026-07-14,,,,,,,64,7829,0,0
2026-07-15,,,,,,,61,8282,0,0
2026-07-16,,,,,,,68,6928,0,0
2026-07-17,,,,,,,59,6189,0,0
2026-07-18,,,,,,,53,5611,0,0
2026-07-19,,,,,,,46,7421,0,0
2026-07-20,,,,,,,58,6986,0,0
2026-07-21,,,,,,,106,6924,0,0
2026-07-22,,,,,,,82,5813,6,65
2026-07-23,,,,,,,85,6729,123,3567
2026-07-24,,,,,,,92,6123,217,6000
2026-07-25,,,,,,,41,5258,121,3445
2026-07-26,,,,,,,55,5481,3,67
2026-07-27,,,,,,,79,5962,0,9
2026-07-28,,,,,,,68,6075,0,1
2026-07-29,,,,,,,66,5803,0,0
2026-07-30,,,,,,,63,5903,0,0
2026-07-31,,,,,,,41,5846,0,0
2026-08-01,,,,,,,43,5686,0,0
2026-08-02,,,,,,,38,6227,0,0
2026-08-03,,,,,,,71,5869,0,0
2026-08-04,,,,,,,68,5663,0,0
2026-08-05,,,,,,,92,6922,0,0
2026-08-06,,,,,,,85,6368,0,0
2026-08-07,,,,,,,73,5637,0,0
2026-08-08,,,,,,,52,6000,0,0
2026-08-09,,,,,,,64,6740,0,0
2026-08-10,,,,,,,66,7706,0,0
2026-08-11,,,,,,,82,8163,0,0
2026-08-12,,,,,,,62,7013,0,0
2026-08-13,,,,,,,89,7351,0,0
2026-08-14,,,,,,,61,6555,0,0
2026-08-15,,,,,,,48,6234,0,0
2026-08-16,,,,,,,55,7544,0,0
2026-08-17,,,,,,,90,7106,0,0
2026-08-18,,,,,,,87,7609,0,0
2026-08-19,,,,,,,89,7353,0,0
2026-08-20,,,,,,,64,6539,0,0
2026-08-21,,,,,,,85,6795,0,0
2026-08-22,,,,,,,65,6171,0,0
2026-08-23,,,,,,,75,6390,0,0
2026-08-24,,,,,,,106,6954,0,0
2026-08-25,,,,,,,112,7252,0,0
2026-08-26,,,,,,,92,7171,0,0
2026-08-27,,,,,,,92,7071,0,0
2026-08-28,,,,,,,83,7011,0,0
2026-08-29,,,,,,,64,6640,0,0
2026-08-30,,,,,,,85,7103,0,0
2026-08-31,,,,,,,124,8040,0,0
2026-09-01,,,,,,,121,9042,0,0
2026-09-02,,,,,,,118,9082,0,0
2026-09-03,,,,,,,128,9182,0,0
2026-09-04,,,,,,,125,10362,0,0
2026-09-05,,,,,,,99,10519,0,0
2026-09-06,,,,,,,90,11498,0,0
2026-09-07,,,,,,,129,11093,0,0
2026-09-08,,,,,,,127,10280,0,0
2026-09-09,,,,,,,124,11364,0,0
2026-09-10,,,,,,,122,10562,0,0
2026-09-11,,,,,,,102,10388,0,0
2026-09-12,,,,,,,87,9505,0,0
2026-09-13,,,,,,,99,9238,0,0
2026-09-14,,,,,,,130,11957,0,0
2026-09-15,,,,,,,143,12139,0,0
2026-09-16,,,,,,,141,10474,0,0
2026-09-17,,,,,,,125,9611,0,0
2026-09-18,,,,,,,123,7892,0,0
2026-09-19,,,,,,,100,7021,0,0
2026-09-20,,,,,,,103,7556,0,0
2026-09-21,,,,,,,126,8664,0,0
2026-09-22,,,,,,,154,8775,0,0
2026-09-23,,,,,,,160,9122,0,0
